"name","full","half","even","odd","pass1","pass2","none"
"Aurora",91.3416,1.05,0.84,1.1,0.67,1.63,0.49
"Canary",121.101,0.98,1.04,0.99,1.05,1.07,1.16
"Chilipepper",2867.42,0.46,0.87,1.08,0.51,0.49,0.67
"Darkblotched",571.133,1.23,1.22,0.9,1.2,0.91,1.04
"Dover",71494.3,0.8,0.71,0.73,0.92,0.71,0.68
"English",11237.8,1,0.98,1,1,1,0.98
"Petrale",3109.68,0.92,0.87,0.92,0.99,0.89,0
"POP",1054.37,1.04,1.61,0.81,0.97,1.04,1.03
"Rex",6124.19,1.01,0.89,0.91,0.97,1.38,0.8
"Sablefish",5894.25,1.09,1.09,1.24,1.21,1.21,1.26
"Sharpchin",1013.63,0.54,0.57,0.55,0.46,0.87,0.4
"Yellowtail",11838.2,0.85,0.11,2.96,0.47,0.12,0.57
